00;71;91;31;00;81;00;11;00;11;00;00;00;00;00;00;00;91;00;61;00;00;00;91;00;00;51;00;11;00;00;00;00;00;00;00;00;00;00;00;00;21;00;41;00;81;91;00;00;00;00;00;00;00;00;00;00;21;00;51;00;71;41;71;41;00;00;61;00;00;00;00;91;81;21;00;00;00;51;00;11;&;&00:00:00&0&0&5
00;41;51;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;31;00;00;11;00;00;00;00;00;00;31;00;00;00;91;00;51;00;00;91;00;00;41;11;00;00;81;00;00;00;00;51;00;41;00;11;00;00;00;00;00;71;51;00;00;91;00;00;41;11;21;91;81;00;71;11;41;61;00;00;&;&00:00:00&0&0&5
51;00;00;00;00;00;00;00;71;00;00;31;00;00;00;61;81;00;00;71;00;00;00;00;00;41;00;00;00;51;31;00;00;00;91;00;00;41;00;71;00;81;00;00;00;71;00;00;00;00;00;00;61;00;41;00;00;00;71;00;00;00;00;00;00;00;00;00;00;41;21;00;91;61;00;51;21;00;81;00;00;&;&00:00:00&0&0&5
61;00;00;71;00;00;91;11;00;11;00;00;00;00;91;00;00;00;71;00;00;00;00;00;00;00;00;00;00;31;00;00;00;00;00;91;00;61;00;00;00;00;00;00;00;81;91;00;31;11;00;00;00;00;00;00;00;00;00;00;00;00;51;00;00;00;91;00;00;31;00;11;00;71;00;51;31;11;61;41;21;&;&00:00:00&0&0&5
00;91;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;91;51;00;00;00;00;00;00;00;00;00;21;00;41;00;00;00;91;00;41;00;00;00;00;00;31;11;71;71;00;00;61;00;00;00;41;00;31;11;00;71;00;00;00;51;00;81;41;00;91;31;11;00;00;00;00;00;00;00;81;00;00;00;11;&;&00:00:00&0&0&5
21;00;00;00;00;00;00;51;00;00;00;00;21;51;00;00;00;00;00;71;00;00;00;00;00;00;61;31;00;00;00;61;00;00;91;00;00;00;00;00;00;11;00;00;00;61;00;00;00;00;00;00;41;51;00;00;51;61;00;41;91;11;00;00;00;31;00;11;00;51;71;41;00;00;00;00;00;00;61;21;00;&;&00:00:00&0&0&5
41;00;00;31;00;00;00;00;00;00;21;00;00;61;71;00;00;00;00;00;00;00;21;00;00;00;00;21;00;00;00;00;00;00;00;00;00;00;71;00;00;00;00;61;00;61;00;00;21;71;00;00;00;51;00;31;11;00;51;00;00;00;41;00;41;21;00;00;31;61;00;00;91;00;00;00;00;21;00;00;31;&;&00:00:00&0&0&5
00;00;00;00;00;00;31;00;00;00;21;00;41;00;00;00;00;00;41;00;00;00;00;00;00;00;81;21;00;41;00;00;00;00;91;00;31;61;00;00;00;00;11;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;21;61;00;11;91;51;31;00;71;00;51;81;31;41;21;00;&;&00:00:00&0&0&5
71;00;00;00;00;00;61;21;00;21;00;00;11;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;61;41;51;00;00;81;00;00;11;00;00;00;00;61;00;21;00;00;51;00;00;00;51;00;61;71;00;21;00;00;21;81;31;00;91;00;00;91;61;00;00;00;11;41;00;31;&;&00:00:00&0&0&5
00;51;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;00;61;00;00;00;41;00;00;00;00;00;00;31;00;00;51;00;91;00;00;00;00;00;00;00;00;00;31;00;00;00;00;11;00;00;00;61;00;21;00;00;81;71;91;61;00;00;41;61;00;21;11;31;00;00;00;81;00;61;00;41;00;11;00;&;&00:00:00&0&0&5
00;00;21;00;00;00;00;51;00;00;00;00;00;51;00;00;00;00;00;00;00;00;00;91;00;00;00;00;00;00;00;00;00;00;00;00;41;51;71;00;00;00;00;61;21;81;61;91;71;21;00;11;00;00;00;00;51;61;00;41;91;71;81;71;41;00;91;81;00;00;00;00;91;00;00;00;00;00;00;00;41;&;&00:00:00&0&0&5
61;71;00;31;00;00;00;41;00;00;00;31;00;61;00;51;00;00;00;51;00;00;00;91;00;00;00;00;00;00;51;31;00;00;00;00;00;00;00;00;00;00;21;11;00;00;91;00;21;11;00;00;00;00;00;31;00;00;00;21;91;00;00;71;00;61;00;00;00;00;00;00;91;81;00;00;00;00;00;51;00;&;&00:00:00&0&0&5
61;00;00;00;00;41;00;00;00;21;00;00;00;00;00;00;00;00;00;81;00;21;61;00;00;31;00;11;00;31;00;00;00;00;91;00;00;00;00;00;81;00;00;00;00;00;00;81;00;00;21;31;41;51;31;00;00;00;21;00;00;81;00;00;00;51;00;91;00;00;00;31;00;00;21;00;00;00;00;00;11;&;&00:00:00&0&0&5
00;00;00;00;00;00;00;00;00;11;00;00;00;00;00;00;00;00;00;71;00;31;61;00;00;00;00;00;11;00;00;00;61;81;00;00;00;00;00;81;00;00;00;00;00;00;00;00;11;00;00;51;31;00;00;00;00;00;00;00;00;81;00;61;41;00;91;81;31;00;00;21;00;91;21;00;00;51;41;00;31;&;&00:00:00&0&0&5
91;00;00;81;11;00;00;00;00;00;00;31;00;00;00;41;81;91;41;00;00;00;00;00;00;00;00;21;00;00;31;00;00;00;00;00;00;00;00;00;00;00;00;00;41;00;81;00;00;00;00;00;00;00;51;00;00;00;81;00;00;00;21;00;41;00;91;00;51;81;00;31;81;00;21;61;00;31;51;00;00;&;&00:00:00&0&0&5
